Date,equity,buy_hold_equity,drawdown_%
2013-07-25,1.0043546757013144,1.2994368365236268,-14.84546209519545
2013-07-26,1.0043546757013144,1.2947516480646009,-14.84546209519545
2013-07-29,1.0043546757013144,1.28275255197882,-14.84546209519545
2013-07-30,1.0043546757013144,1.2659032944966637,-14.84546209519545
2013-07-31,1.0043546757013144,1.2630328083484832,-14.84546209519545
2013-08-01,1.0043546757013144,1.2599203404113388,-14.84546209519545
2013-08-02,1.0043546757013144,1.2489330998221535,-14.84546209519545
2013-08-05,1.0043546757013144,1.2505828291956493,-14.84546209519545
2013-08-06,1.0043546757013144,1.219095016034375,-14.84546209519545
2013-08-07,0.9978845473191673,1.2140028728490355,-15.394034034865832
2013-08-08,1.0063010155760317,1.2242421501988312,-14.680441035755953
2013-08-12,1.014753680278921,1.2345254632936227,-13.963779109194807
2013-08-13,1.0304656746580767,1.2536403061536776,-12.63163255450721
2013-08-14,1.038240318128114,1.263098754561721,-11.972456878739745
2013-08-16,0.9958504836206112,1.211528278788792,-15.566492787246844
2013-08-19,0.9790174588228675,1.1910496166849445,-16.99368627065555
2013-08-20,0.9766127788306247,1.1881241395576474,-17.197567846061556
2013-08-21,0.9587310282223276,1.166369622295743,-18.713677888477818
2013-08-22,0.9769196874370597,1.1896638869729104,-17.17154650002487
2013-08-23,0.9769196874370597,1.2035875599235135,-17.17154650002487
2013-08-26,0.9769196874370597,1.2046323885267276,-17.17154650002487
2013-08-27,0.9769196874370597,1.1630482530805093,-17.17154650002487
2013-08-28,0.9855654864539795,1.1625092985234649,-16.438509617820362
2013-08-29,1.0086987326415588,1.1897957793993852,-14.477149814356638
2013-08-30,1.0204005745100522,1.2035985151576345,-13.485005344823664
2013-09-02,1.0351234860803078,1.2209647093243374,-12.236718497846045
2013-09-03,0.9960925184697953,1.1749263045696803,-15.545971783822699
2013-09-04,1.0159809693465573,1.1983854347799412,-13.859723006347258
2013-09-05,1.0429931277116449,1.2302472295609104,-11.569488372069037
2013-09-06,1.0593010582793858,1.2494830096133192,-10.186815173768915
2013-09-10,1.0996467894508046,1.2970722244216164,-6.7660892315766
2013-09-11,1.1016054544364184,1.3006796111708097,-6.600023183600268
2013-09-12,1.1016054544364184,1.2869429290300538,-6.600023183600268
2013-09-13,1.1016054544364184,1.2869209111575561,-6.600023183600268
2013-09-16,1.1016054544364184,1.284710209354518,-6.600023183600268
2013-09-17,1.1016054544364184,1.2868329470718207,-6.600023183600268
2013-09-18,1.1016054544364184,1.2976661699577772,-6.600023183600268
2013-09-19,1.1016054544364184,1.3452002863827015,-6.600023183600268
2013-09-20,1.1016054544364184,1.3224450836668347,-6.600023183600268
2013-09-23,1.1016054544364184,1.2955324770063532,-6.600023183600268
2013-09-24,1.107550021386074,1.2961264225425142,-6.0960111409534505
2013-09-25,1.1040539309866422,1.292035072215393,-6.392428302778441
2013-09-26,1.105632783876712,1.2938827476328572,-6.258564746879058
2013-09-27,1.0964133402785565,1.2830935604918963,-7.040238271515298
2013-09-30,1.0780118984103366,1.261559007146458,-8.600410506464284
2013-10-01,1.0864231470105292,1.271402392408317,-7.887260057643308
2013-10-03,1.1107923462654778,1.2999208001015548,-5.821109571296212
2013-10-04,1.110341166773088,1.2993928007786313,-5.859362971331161
2013-10-07,1.1101250301366807,1.2991398637555465,-5.877688186360119
2013-10-08,1.1131970342988187,1.3040340608969176,-5.617227314123097
2013-10-09,1.1131970342988187,1.3214222729361182,-5.617227314123097
2013-10-10,1.1131970342988187,1.324391785808411,-5.617227314123097
2013-10-11,1.1131970342988187,1.3409440705224869,-5.617227314123097
2013-10-14,1.1131970342988187,1.3445734751441778,-5.617227314123097
2013-10-15,1.1131970342988187,1.339371242596349,-5.617227314123097
2013-10-17,1.1131970342988187,1.3298688658475661,-5.617227314123097
2013-10-18,1.1131970342988187,1.361433687860455,-5.617227314123097
2013-10-21,1.1131970342988187,1.3648651464381778,-5.617227314123097
2013-10-22,1.1131970342988187,1.3643921380943709,-5.617227314123097
2013-10-23,1.1131970342988187,1.359014084779328,-5.617227314123097
2013-10-24,1.1131970342988187,1.3559345899488022,-5.617227314123097
2013-10-25,1.1131970342988187,1.3516562488118335,-5.617227314123097
2013-10-28,1.1131970342988187,1.3420218722323196,-5.617227314123097
2013-10-29,1.1131970342988187,1.368373506463259,-5.617227314123097
2013-10-30,1.1131970342988187,1.375148459532969,-5.617227314123097
2013-10-31,1.1131970342988187,1.385585682926733,-5.617227314123097
2013-11-01,1.1131970342988187,1.3873564568968388,-5.617227314123097
2013-11-05,1.1131970342988187,1.3754673427692912,-5.617227314123097
2013-11-06,1.1131970342988187,1.3671087139435785,-5.617227314123097
2013-11-07,1.1131970342988187,1.360971742155025,-5.617227314123097
2013-11-08,1.1131970342988187,1.3507434200393502,-5.617227314123097
2013-11-11,1.1131970342988187,1.3371166124525713,-5.617227314123097
2013-11-12,1.1131970342988187,1.3237538045272543,-5.617227314123097
2013-11-13,1.1131970342988187,1.3174958955463467,-5.617227314123097
2013-11-14,1.1131970342988187,1.3321344512254647,-5.617227314123097
2013-11-18,1.1131970342988187,1.3613566790088405,-5.617227314123097
2013-11-19,1.1131970342988187,1.3645131826909807,-5.617227314123097
2013-11-20,1.1131970342988187,1.3468170426495787,-5.617227314123097
2013-11-21,1.1131970342988187,1.3195744901143982,-5.617227314123097
2013-11-22,1.1061922138963514,1.318782705938525,-6.2111332906763845
2013-11-25,1.1283143788879455,1.345156358041962,-4.335498335327936
2013-11-26,1.1179359569171787,1.3327833877407427,-5.215436218311953
2013-11-27,1.117566946358218,1.3323434599078106,-5.246722898595834
2013-11-28,1.1239785048201587,1.3399872060050084,-4.703116828663467
2013-11-29,1.139523074616374,1.3585191659672793,-3.3851654217051608
2013-12-02,1.1472261700346766,1.36770265947974,-2.7320559707792347
2013-12-03,1.1442740855629918,1.3641832368162818,-2.982349413050245
2013-12-04,1.1367278376503414,1.3551867341136685,-3.622160497185578
2013-12-05,1.1503791899449436,1.3728168205375773,-2.464726151981955
2013-12-06,1.1503791899449436,1.3769520992054378,-2.464726151981955
2013-12-09,1.1503791899449436,1.3998283465179147,-2.464726151981955
2013-12-10,1.1503791899449436,1.392998509873344,-2.464726151981955
2013-12-11,1.1503791899449436,1.3875103671958118,-2.464726151981955
2013-12-12,1.1503791899449436,1.3719259022333357,-2.464726151981955
2013-12-13,1.1503791899449436,1.3568254008487874,-2.464726151981955
2013-12-16,1.1503791899449436,1.3538119596357552,-2.464726151981955
2013-12-17,1.1503791899449436,1.3503694384196556,-2.464726151981955
2013-12-18,1.1503791899449436,1.3675486417765113,-2.464726151981955
2013-12-19,1.1503791899449436,1.356440463994972,-2.464726151981955
2013-12-20,1.1503791899449436,1.3801086028875782,-2.464726151981955
2013-12-23,1.1503791899449436,1.382363233031356,-2.464726151981955
2013-12-24,1.1503791899449436,1.3788217924954,-2.464726151981955
2013-12-26,1.1503791899449436,1.3811314136182944,-2.464726151981955
2013-12-27,1.1503791899449436,1.388808132822111,-2.464726151981955
2013-12-30,1.1503791899449436,1.3838150163608836,-2.464726151981955
2013-12-31,1.1503791899449436,1.3866525294024454,-2.464726151981955
2014-01-02,1.1503791899449436,1.3684284974423757,-2.464726151981955
2014-01-03,1.1503791899449436,1.3662288582777145,-2.464726151981955
2014-01-06,1.1503791899449436,1.3618956335658856,-2.464726151981955
2014-01-07,1.1503791899449436,1.3554726442433724,-2.464726151981955
2014-01-08,1.1503791899449436,1.3581892200925803,-2.464726151981955
2014-01-09,1.1503791899449436,1.356814445614667,-2.464726151981955
2014-01-10,1.1503791899449436,1.357496355236563,-2.464726151981955
2014-01-13,1.1503791899449436,1.379778657012879,-2.464726151981955
2014-01-14,1.1503791899449436,1.3729817934749269,-2.464726151981955
2014-01-15,1.1503791899449436,1.3903698981098715,-2.464726151981955
2014-01-16,1.1503791899449436,1.3899299702769392,-2.464726151981955
2014-01-17,1.1503791899449436,1.3773370360592536,-2.464726151981955
2014-01-20,1.1503791899449436,1.3866415741683245,-2.464726151981955
2014-01-21,1.1503791899449436,1.388808132822111,-2.464726151981955
2014-01-22,1.1503791899449436,1.3943403112446389,-2.464726151981955
2014-01-23,1.1503791899449436,1.3958140050424084,-2.464726151981955
2014-01-24,1.1503791899449436,1.3784588735140826,-2.464726151981955
2014-01-27,1.1503791899449436,1.3496656183295181,-2.464726151981955
2014-01-28,1.1481781921484102,1.347553943250592,-2.6513384661651096
2014-01-29,1.1470536756574263,1.3462341597517953,-2.7466809626683464
2014-01-30,1.138329338486897,1.3359948824019996,-3.4863767277757973
2014-01-31,1.1412905286411337,1.3394702693204619,-3.235311257247475
2014-02-03,1.1248538093258968,1.3201793908846804,-4.628903851400157
2014-02-04,1.1246851501549264,1.3199814448407121,-4.643203674077201
2014-02-05,1.1287146675809523,1.3247106690447337,-4.3015597282738955
2014-02-06,1.1313197791490543,1.3277681460027615,-4.080684496506503
2014-02-07,1.136361434627675,1.333685261279105,-3.6532260966565033
2014-02-10,1.1333977338951984,1.3315406130935603,-3.9045044273776086
2014-02-11,1.1333977338951984,1.333575279320872,-3.9045044273776086
2014-02-12,1.1333977338951984,1.338260467779898,-3.9045044273776086
2014-02-13,1.1333977338951984,1.3200254805857075,-3.9045044273776086
2014-02-14,1.1333977338951984,1.330418775638732,-3.9045044273776086
2014-02-18,1.1333977338951984,1.3477409340604394,-3.9045044273776086
2014-02-19,1.1333977338951984,1.3533829870369443,-3.9045044273776086
2014-02-20,1.1333977338951984,1.3398992419192732,-3.9045044273776086
2014-02-21,1.1333977338951984,1.353976932573105,-3.9045044273776086
2014-02-24,1.1333977338951984,1.3607188051319403,-3.9045044273776086
2014-02-25,1.1333977338951984,1.3637872373240891,-3.9045044273776086
2014-02-26,1.1333977338951984,1.3723108390871515,-3.9045044273776086
2014-02-28,1.1333977338951984,1.380702548423739,-3.9045044273776086
2014-03-03,1.1333977338951984,1.3684945510598692,-3.9045044273776086
2014-03-04,1.1333977338951984,1.3853217906695279,-3.9045044273776086
2014-03-05,1.1333977338951984,1.3920746184624841,-3.9045044273776086
2014-03-06,1.1333977338951984,1.4080220024062782,-3.9045044273776086
2014-03-07,1.1333977338951984,1.4356274739227766,-3.9045044273776086
2014-03-10,1.1333977338951984,1.4379591129181686,-3.9045044273776086
2014-03-11,1.1333977338951984,1.432383006154901,-3.9045044273776086
2014-03-12,1.1333977338951984,1.4334828257372316,-3.9045044273776086
2014-03-13,1.1333977338951984,1.4282477274870404,-3.9045044273776086
2014-03-14,1.1333977338951984,1.4306893484406655,-3.9045044273776086
2014-03-18,1.1333977338951984,1.433427834758115,-3.9045044273776086
2014-03-19,1.1333977338951984,1.4350555462591132,-3.9045044273776086
2014-03-20,1.1333977338951984,1.4260480883223792,-3.9045044273776086
2014-03-21,1.1333977338951984,1.428269745359538,-3.9045044273776086
2014-03-24,1.1333977338951984,1.4481324440547265,-3.9045044273776086
2014-03-25,1.1333977338951984,1.4495072185326396,-3.9045044273776086
2014-03-26,1.1333977338951984,1.4520697766786188,-3.9045044273776086
2014-03-27,1.1333977338951984,1.4609453421888783,-3.9045044273776086
2014-03-28,1.1333977338951984,1.4728563667846677,-3.9045044273776086
2014-03-31,1.1333977338951984,1.47468213173389,-3.9045044273776086
2014-04-01,1.1333977338951984,1.4783884378029395,-3.9045044273776086
2014-04-02,1.1333977338951984,1.4853173011716225,-3.9045044273776086
2014-04-03,1.1333977338951984,1.4816989591883085,-3.9045044273776086
2014-04-04,1.1333977338951984,1.472515465675848,-3.9045044273776086
2014-04-07,1.1333977338951984,1.4726693759748204,-3.9045044273776086
2014-04-09,1.1333977338951984,1.4949188120487737,-3.9045044273776086
2014-04-10,1.1333977338951984,1.4949627403895134,-3.9045044273776086
2014-04-11,1.1333977338951984,1.4905414441876932,-3.9045044273776086
2014-04-15,1.1333977338951984,1.4810390674389102,-3.9045044273776086
2014-04-16,1.1333977338951984,1.4683250886246146,-3.9045044273776086
2014-04-17,1.1333977338951984,1.4912233538095896,-3.9045044273776086
2014-04-21,1.1333977338951984,1.4996369736144186,-3.9045044273776086
2014-04-22,1.1333977338951984,1.499131099568249,-3.9045044273776086
2014-04-23,1.1333977338951984,1.504729116799758,-3.9045044273776086
2014-04-25,1.1333977338951984,1.491960254410602,-3.9045044273776086
2014-04-28,1.1333977338951984,1.4872310302065803,-3.9045044273776086
2014-04-29,1.1333977338951984,1.4771126900491387,-3.9045044273776086
2014-04-30,1.1333977338951984,1.472966348742901,-3.9045044273776086
2014-05-02,1.1333977338951984,1.472614384995704,-3.9045044273776086
2014-05-05,1.1333977338951984,1.4736152852581785,-3.9045044273776086
2014-05-06,1.1333977338951984,1.4771236452832595,-3.9045044273776086
2014-05-07,1.1333977338951984,1.4633209095250101,-3.9045044273776086
2014-05-08,1.1333977338951984,1.4649267105577666,-3.9045044273776086
2014-05-09,1.1333977338951984,1.5086884672961483,-3.9045044273776086
2014-05-12,1.1333977338951984,1.5428819010725097,-3.9045044273776086
2014-05-13,1.1333977338951984,1.5636684911785583,-3.9045044273776086
2014-05-14,1.1333977338951984,1.5636684911785583,-3.9045044273776086
2014-05-15,1.1333977338951984,1.5668359500948195,-3.9045044273776086
2014-05-16,1.1333977338951984,1.584400090305491,-3.9045044273776086
2014-05-19,1.1333977338951984,1.5977188624858123,-3.9045044273776086
2014-05-20,1.1333977338951984,1.600347474249285,-3.9045044273776086
2014-05-21,1.1333977338951984,1.5953762682562993,-3.9045044273776086
2014-05-22,1.1333977338951984,1.600545420293253,-3.9045044273776086
2014-05-23,1.1333977338951984,1.620496190478433,-3.9045044273776086
2014-05-26,1.1333977338951984,1.618725416508327,-3.9045044273776086
2014-05-27,1.1333977338951984,1.609695940699095,-3.9045044273776086
2014-05-28,1.1333977338951984,1.612258498845074,-3.9045044273776086
2014-05-29,1.1333977338951984,1.5915818906972585,-3.9045044273776086
2014-05-30,1.1333977338951984,1.5903281608159554,-3.9045044273776086
2014-06-02,1.1333977338951984,1.6194843349818375,-3.9045044273776086
2014-06-03,1.1333977338951984,1.6312194314061566,-3.9045044273776086
2014-06-04,1.1333977338951984,1.628227900661366,-3.9045044273776086
2014-06-05,1.1333977338951984,1.644032329540308,-3.9045044273776086
2014-06-06,1.1333977338951984,1.668074342648353,-3.9045044273776086
2014-06-09,1.1333977338951984,1.6837358164624434,-3.9045044273776086
2014-06-10,1.1333977338951984,1.6841317085503797,-3.9045044273776086
2014-06-11,1.1333977338951984,1.6776318177805083,-3.9045044273776086
2014-06-12,1.1333977338951984,1.6827019430933499,-3.9045044273776086
2014-06-13,1.1333977338951984,1.6589898758600041,-3.9045044273776086
2014-06-16,1.1333977338951984,1.6571091199316652,-3.9045044273776086
2014-06-17,1.1333977338951984,1.6786986642562203,-3.9045044273776086
2014-06-18,1.1333977338951984,1.66253131639596,-3.9045044273776086
2014-06-19,1.1333977338951984,1.658681947857803,-3.9045044273776086
2014-06-20,1.1333977338951984,1.6522480033011688,-3.9045044273776086
2014-06-23,1.1333977338951984,1.6482666349322808,-3.9045044273776086
2014-06-24,1.1333977338951984,1.6673705225582147,-3.9045044273776086
2014-06-25,1.1333977338951984,1.6649618747112083,-3.9045044273776086
2014-06-26,1.1333977338951984,1.6482336618256619,-3.9045044273776086
2014-06-27,1.1333977338951984,1.6516650129991284,-3.9045044273776086
2014-06-30,1.1333977338951984,1.674222377075283,-3.9045044273776086
2014-07-01,1.1333977338951984,1.6793585560056181,-3.9045044273776086
2014-07-02,1.1333977338951984,1.6992542278074254,-3.9045044273776086
2014-07-03,1.1333977338951984,1.6969775797911497,-3.9045044273776086
2014-07-04,1.1333977338951984,1.7050723163596566,-3.9045044273776086
2014-07-07,1.1333977338951984,1.7128919906283249,-3.9045044273776086
